,text,sentiment
14410,i will never not be astounded at the audacity of thameslink to not have plug sockets on its trains,neutral
4295,@SouthernRailUK absolutely disgusting 18:02 from LND B to East Croydon cancelled - 18:07 to East Croydon not stopping at east Croydon so now there is overcrowding and a packed platform where everyone is trying to get on the delayed @TLRailUK 18:00 train,negative
6053,"@TLRailUK Hiya, the onboard announcements aren't working on your Bedford - Gatwick service (just departed NWD 1902)",negative
9765,"@TLRailUK why are your staff letting passengers get away with not wearing masks “it’s 2 grand fine but I’ll let ya off this time” it’s no wonder why so many people aren’t wearing masks! They don’t care, you need to vigilant and hold people accountable please",negative
8757,@TLRailUK hiya. I’ve a delay Repay Claim to make following the trespass incident this morning. Does your delay Repay allow donations to Samaritans like other TOCs,negative
16414,Endless window pane-rattling chinooks over North London this morning - can’t the NATO leaders just get the Thameslink like everyone else?,negative
10529,@cmajrail Hi Chris. Services are subject to delay as the result of urgent repairs to the track between West Hampstead Thameslink and St Albans City. Sorry if this causes any disruption to your journey this morning. ^Alex,negative
2138,1756 Thameslink train to Horsham: On time - plat 1 1826 Thameslink train to Horsham: On time - plat 1 1834 Thameslink train to Peterborough: Delayed - plat 2 1803 Thameslink train to Peterborough: expected 1840 - plat 2 1856 Thameslink train to Horsham: On time - plat 1,negative
13995,Thousands of commuters hit by major train delays into London https://t.co/BS23MzFxqi,negative
1234,(Thameslink Update) 16:49 Three Bridges to Bedford due 18:41 - 16:49 Three Bridges to Bedford due 18:41 is being delayed at St Albans City.,neutral
13022,"Peddler on the train, Thameslink disruption so Southern making extra stop at Three Bridges, staff onboard to announce & alternative travel but not moving thru train, not managing anti-social element or people unable to access audio info as onboard display not amended",negative
15451,"@SouthernRailUK train cancelled this morning. Now sat on a @TLRailUK service with no tables, no wifi, hard seats, and oddly (given how cold it is this morning) no heating either. 🥶 #notamused #sortitout",negative
6703,"@TLRailUK LBG to MHM, and the reverse this morning and the same yesterday. All four trains delayed or cancelled part way through. Never thought I would see the day when I was grateful for Southern, but only way I could get home because @TLRailUK failed to deliver the scheduled service",negative
9528,@TLRailUK two trains run straight past HPD without stopping before any announcement at the station. Brilliant service.,negative
7072,"@TLRailUK Refurbish the stations, Leagrave, Luton, put lifts in, shelters and screen at the north end of platform 1 at Leagrave. Buy your own buses so they will actually turn up when you cancel everything. Reduce the fares in line with the crap service you provide!",negative
590,#TRAVEL Delays of up to ten minutes and some cancellations on @tlrailuk and @southernrailuk between Redhill and East Croydon northbound due to signalling problem at Coulsdon South.,neutral
12120,"Free fruit supplied by thameslink this morning, More seats on trains at peak times and better punctuality would taste better #ThamesLink",neutral
9175,@TLRailUK please could you advise of complaints? Told to get off @ StAlbans to catch 17.14 from there to LEA on Plt 4.train pulled in on plt 2 while 7 of your guys on both platforms stood there telling us to wait. It was finally announced on plt 2 only people near stairs made it.,negative
7349,"@TLRailUK Thanks Kim, what do you need? This evening I was waiting to catch the 18:31. The screens on the platform suddenly stopped showing the next train and showed a message about calling some information line. A train arrived - still no info.",negative
13488,"Thameslink WiFi is one of those mythical things, like the Loch Ness Monster or good customer service from a delivery company",negative
2904,"@DanieltweetsUK @TLRailUK DfT originally specified the trains without WiFi. When GTR were appointed, they persuaded DfT to add that plus seatback tables to roughly 50% of trains when built. Retrofitting earlier ones is down to the DfT providing funding - perhaps talk to your MP after Thur!",negative
8001,@TLRailUK Yes that’s the train. It’s strange as the driver told us all he had no idea why he’d been told to run fast to Brighton but he had to follow instructions. All it’s done is delayed a whole train full of people for no apparent reason,negative
12040,Evening @TLRailUK FYI Unit 700021 Vehicle 412021 vandalised power socket https://t.co/da7o7usgMG,negative
11417,@theballisround @TLRailUK @Se_Railway Make sure you claim Delay Repay compensation,neutral
12621,It’s so nice to travel on trains these days - never seen them so clean! #thameslink #traintravel #covidclean,positive
11339,"@shazzar1104 Hi Sharon. Our team can be contacted on 0345 026 4700 (Option 2 for Thameslink, option 2 for Delay Repay). ^Alex.M",neutral
9994,"@TLRailUK you are advising people NOT TO TRAVEL via East Croydon... Update your info, not all travellers go that way. I should catch the Peterborough train from Blackfriars, all cancelled/severely delayed. #sortitout https://t.co/9q5v5nItnM",negative
9962,@TLRailUK would be so much more accepting of the delay getting home if I hadn't already been late into work because of this morning's train cancelation...,negative
10866,@jonabuft @AndrewBowden My theory is that TfL keeps Thameslink off the tube map so that people not in the know don't discover that some trains through London still have toilets ...,neutral
3772,@OneSatsuma @Saracens At least you are giving @TLRailUK a break #whinger,neutral
12100,First time traveling on your services for a while @TLRailUK Why are the toilets out of service on both the platform and on train?? How is one supposed to relieve themselves,negative
6806,"@TLRailUK New trains, new fares, yet I'm still waiting at the platform for a train that doesn't come. Would love to hear your justification. Love to hear one that makes sense.",negative
1054,(Thameslink Update) 10:49 Bedford to Brighton due 13:15 - 10:49 Bedford to Brighton due 13:15 has been delayed previously and is expected to be 7 minutes late from Luton.,neutral
5146,"@TLRailUK @brighton_line I have a season ticket, can’t go to work all week, and can’t find any info on how to claim delay repay for this - how can I claim this, please?",negative
16125,@TLRailUK your station announcers at st pancras have been telling everyone to get on the 18.26 and change. The 18.26 arrives absolutely packed. Absolutely disgusting ‘service’. How are people supposed to get home?,negative
9338,"@TLRailUK stuck on the delayed 8:45 from Riddlesdown to Bedford, no announcements or messages on display board as to why. Ridiculous",negative
3177,"@GatwickExpress @SouthernRailUK @TLRailUK Guess which crappy over priced #GatwickExpress snail 🐌 service I'm on tonight? Yeap, the ""Delayed"" one, which usually means, ""God knows what time we'll arrive!"" #journeyOfHell https://t.co/h6d1atRWI4",negative
14642,⚠️ #TLUpdates - Following an earlier fault with the signalling system identified by Network Rail between London Bridge and Dartford lines are now open but services may be subject to delays as a result of this. ℹ️👇https://t.co/pldm8dLlKP,neutral
7246,@TLRailUK Table at the bottom coming off,neutral
14926,"⚠️#TLUpdates - Services are subject to cancellations, delay and alteration. Please check before you travel. ℹ️Travel advice & ticket acceptance👉https://t.co/CeQ3qiA5Bj https://t.co/UDP5L0zQWr",negative
12004,"Due to a fault with the signalling system at #LondonBlackfriars, Thameslink services may be delayed by up to 10 minutes or revised while this is investigated.",negative
3578,@MrTimDunn That’s a Thameslink train right? In all honesty I’m less bothered by paint over the view than the fact that I can’t fit my legs into the seat space. The true vandalism is the way those godawful interiors have been designed.,negative
8843,@TLRailUK in coach 5 on unit 010. Yet again announcements “This station is station.....” at Charlton and Westcombe Park. Maze Hill cut short. Seems somebody there needs to sort these out.,negative
15386,@PRPcommuters @ABCommuters @CarolineLucas @TLRailUK @GTRailUK Experienced this on @TLRailUK - people on the platform way over the yellow line - driver (rightly) wouldn’t depart until a passenger opened a door and asked them to move.,neutral
3713,@NickRH14 @TLRailUK @splatzuk All announcements on every Thameslink train I get are garbled - missing out bits of words and pausing. I only use the line to/from Rainham - is it a wider problem?,neutral
8160,"@TLRailUK another day on the 17:55 London bridge to Littlehampton train, another day where there are no pull down tables on the back of seats. Or tables at all. Or arm rests. Or some form of padding on the seat. Cheers guys! 👍",negative
5446,"@TLRailUK Any idea what error 203 is when i try and access the free wifi on the train, getting it now?",neutral
13964,There's a #ThamesLink train in hell that gets delayed by one minute every minute. Forever.,negative
7841,@TLRailUK When will WiFi be installed on all trains running the Brighton line? Thanks,neutral
16226,@krfofficial @Se_Railway @TLRailUK Don’t talk rubbish. Why should guards break up a fight between idiots - not in their job description,neutral
4058,@Se_Railway @TfL @NetworkRailSE ⚠️ #TLUpdates - Some services are still subject to residual delays or cancellations with some some service being diverted. Please check your journey prior to travel 👇⏰ https://t.co/O3hK5LvURv,neutral
2261,1912 EMR train to St Pancras: Delayed - plat 2 1919 Thameslink train to Brighton: On time - plat 2 1923 EMR train to St Pancras: On time - plat 1 1930 West Midlands Trains service to Bletchley: On time - plat 1A 1935 Thameslink train to Gatwick Airport: Cancelled,neutral
8601,@TLRailUK have you lost your tablet at Huntington station this morning..don't worry i will hand it in for you tonight 7-8pm https://t.co/g4f9Kt9ukA,neutral
4203,"@SouthernRailUK @TLRailUK @GTRailUK 08:38 Penge West to London Bridge (09:01 ETA). Then 09:05 to Luton (ideal ETA 09:52). Got 09:11, as not enough transfer time. This no longer stops at Luton. Now at Harpenden waiting for a delayed train that might actually stop there, delay keeps changing.",negative
8090,"@TLRailUK Your train is still delayed at this time! Unbelievable! Its either short of staff or problems with trains etc! You check online it says train is on time, get on the station its delayed! What a joke!",negative
2539,@2r011 @TLRailUK @TLRailUK can you answer this? Also now the 18.46 is delayed. What has happened?,neutral
3944,"@SLT_Enthusiast @TC378 2x 377/1s in Southern livery. 25x 377/5s in the old Thameslink purple (close to the Southeastern blue), but with doors repainted to SE colours .",neutral
13273,"Something has to be done about @TLRailUK and associated Govia franchises. Commuted 3 days this week (bank holiday on Monday, and worked from home on Wednesday). Yet was subjected to a total of 105 minutes of delays. Average 17.5 minutes per journey. CC @CarolineLucas",negative
5026,"@TLRailUK @SouthernRailUK you really do take the piss - massively reduced service and you cannot even run that on time. No onboard announcements about problems and delays, just leave your passengers uninformed and missing connections.",negative
2885,@CrowleyJoss @TLRailUK I'm sorry for the delay Joss. This was due to a delayed train in front  ^S,negative
3996,"@SayakaMaizono78 @AndyBraben @RedhillRail @TLRailUK Despite them saying that Delay Repay is not applicable, please try and claim regardless and mention about the overcrowding. ^Cameron",neutral
5665,"@TLRailUK Disruption at Cricklewood. Try using this current screenshot from Open Train Times to demonstrate the extent of the engineers T3 line blockades, in order to effect repairs. https://t.co/V9euO6zn68",neutral
14663,"⚠️ #TLUpdates - Network Rail have identified a fault with the signalling system at Blackfriars. Services are currently subject to delays of up to 10 mins. ℹ️More info to follow when we have this, check your journey 👇 https://t.co/iYMraBkjSy",negative
1111,(Thameslink Update) 13:18 Luton to Rainham Kt due 15:41 - 13:18 Luton to Rainham Kt due 15:41 is being delayed between Abbey Wood and Slade Green.,negative
16600,I’ve got trains from at least four franchises in the last two weeks and none have made my bum numb like THAMESLINK AND ITS STUPID ROCK HARD SEATS. #ouch #pray4helena,negative
11218,"@pip_pip_hooray Hello there, very sorry to hear this! Were you waiting for a Thameslink service? ^Kim",negative
4726,"@TLRailUK @CLGinGB I see this on all GTR trains, even if there is a no feet on seats sign. Fighting a losing battle sadly",neutral
16357,BBC News - Govia Thameslink fined £1m over Gatwick Express window death https://t.co/V531JCP4Cm,neutral
4588,"@TLRailUK 20:58 Bedford service from Brighton - whats going on, we've been on the train with 30 mins delay now. We were just told that staff is investigating ab incident. what incident, when we are moving????",negative
7606,"@TLRailUK There’s a small blue ball bottle of perfume, black toiletries bag, clothes, make up bag, pink glasses case and prob some fruit! Beige canvas bag with a long brown strap",neutral
16236,"@lucas42 @adgad they do that on thameslink for the stations that are underground, and announce it, but if it terminates at blackfriars they announce it but don’t open the doors",neutral
142,"#TLUpdates - @TLRailUK have been advised by colleagues at Network Rail that due to a points failure at St Pancras International, services running to and from the station may be cancelled or delayed. https://t.co/XCTa6GgxrD",neutral
9393,@TLRailUK the 1647 LNER service from Doncaster is delayed into Stevenage. Any chance you can hold the 1817 from Stevenage to Horsham to make sure connections can take place? Might be arriving around the same time as scheduled departure.,negative
13728,Thameslink update: 23:10 Watton-At-Stone to London Kings Cross due 00:05 is being delayed at Hertford North.,neutral
3998,"@SayakaMaizono78 @TLRailUK @GNRailUK @125_RailwayInfo Keep receipts and claim it back, plus your full fare if delayed by two hours or more.",neutral
6042,@TLRailUK Hi. It's intermittent but it's been worse since the new equipment was installed. Occasionally people complain and it gets turned up. There's a couple of visually impaired passengers who really rely on hearing the announcements.,negative
13070,"Rear declassified 1st class car filthy & monumentally uncomfortable, 2hr journey trying to work, arm rests far too low to actually rest arms on for typing, table too narrow to reach laptop at aisle seat, window seat too narrow for legs & backside - epic ergonomic fail Thameslink",negative
2205,1834 Thameslink train to Peterborough: Cancelled 1803 Thameslink train to Peterborough: expected 1849 - plat 2 1856 Thameslink train to Horsham: On time - plat 1 1926 Thameslink train to Horsham: Cancelled 1934 Thameslink train to Peterborough: Delayed - plat 2,negative
1287,(Thameslink Update) 17:56 Bedford to East Grinstead due 20:07 - 17:56 Bedford to East Grinstead due 20:07 has been delayed at St Albans City and is now 6 minutes late.,negative
2362,2046 Thameslink train to Peterborough: On time 2058 Thameslink train to Royston: On time 2100 LNER train to Newcastle: On time - plat 0 2112 Great Northern train to Ely: On time - plat 9 2116 Thameslink train to Peterborough: Cancelled 2128 Thameslink train to Cambridge: Delayed,neutral
5150,"@TLRailUK @brightonrail loads of people are on-board Brighton Bedford train at 2140 today without a mask on, in carriage 3, could @BTP or someone in authority punish these passengers please. Some parents, with children, no common sense at all. #Covidiots",negative
8633,"@TLRailUK hey, is the Luton to Rainham trans running through London? i understand your having lots of issues today, but looking at your live departure board online it say on time, but then just goto delayed, they are not canceled, the 15:18 from Luton is still saying delayed!",negative
2400,2114 Thameslink train to Peterborough: Delayed - plat 4 2059 Great Northern train to Kings Lynn: expected 2122 - plat 4 2115 LNER train to London Kings Cross: expected 2122 - plat 2 2110 Thameslink train to London Kings Cross: expected 2123 - plat 1,negative
6486,@TLRailUK It appears northbound are also delayed or is that just us?,negative
6800,"@TLRailUK NO... CAUSE THEY WERE TOO BUSY ENFORCING MASKS SO I JUST LET THEM PRACTICE THEIR FRIVOLOUS ACTIVITIES! BUT YOU CAN BET ANY DIME... THESE TISSUE SLAVES ARE ON THE SAME TRAIN EVERYDAY, SPREADING CORONA LOVE VIA SAME NOTES ON SEATS, CARRIAGE TO CARRIAGE, 9-7,DAILY.",negative
9493,"@TLRailUK top trolling of waiting passengers going all stations from ldn st Pancras tonight. No trains for ages. Sign shows delayed 2251 as all stations. Get on and driver says no instruction for all stations, direct to W.Hampstead then st.albans...stay on / get off??! Idiots",negative
8226,@TLRailUK any plans to do something about the toilets with sliding doors on your trains? Having them slide open to reveal themselves dying your journey does not make a pleasant trip. https://t.co/kI9ayxXBbm,negative
7276,"@TLRailUK Thank you for screwing my evening... checked before I left home, walked a mile to the station, you cancel two trains in a row, client evening at the theatre f******, £400 tickets down the toilet, taxi to Redhill Station, arriving super late #useless #pissupinbrewery? https://t.co/9NrltWJB3R",negative
13279,South Western Railway and Thameslink are warning passengers of delays and cancellations because of staff sickness during the coronavirus outbreak. #HeartNews https://t.co/kpmvq7oyMV,negative
9584,"@TLRailUK went to Farringdon to get 00:26 to Croydon that got cancelled. TL staff told me to go Kings X to get 00:52 that was delayed now I’m at Blackfriars, Waiting for 1:40 😂. FLM this is a joke. All we ask for is reliable service & up to date info 🙄 https://t.co/uufxivuXhw",negative
1133,(Thameslink Update) 14:07 St Albans City to Sutton Surrey due 15:44 - 14:07 St Albans City to Sutton Surrey due 15:44 is being delayed at Mill Hill Broadway.,negative
8921,"@TLRailUK just got a train from St Albans and station staff announced we should get on for St Pancreas, driver has just announced no stops until London Bridge! What is going on?",negative
16712,Someone on @TLRailUK is shelling a boiled egg on to the floor of the train. I despair at humans. 🤢🤦🏾‍♀️,negative
5771,@TLRailUK GTR Delay Repay – Claim Ref G20190228-5896411.,negative
13979,"This has annoyed me for some time so in light of #IWD2020 @TLRailUK and @SouthernRailUK How's about using a woman in your wifi ads rather than white, male and pale. https://t.co/jhIVxsYDOD",negative
5098,"@TLRailUK @TfL Thanks! To clarify, these are the signs to show you where the doors will be, so you can wait at the right place",neutral
6397,"@TLRailUK I'm sorry but where is the 0612 train to KGX from Baldock? Literally hasn't turned up, and has fallen off the screen. No explanation, no reason why?",negative
15061,"❌ network delays #Thameslink North area, overhead Line supply issue ⚡️❌",negative
12541,I've just been on a Ryanair and I swear it's the same seats off Thameslink.... https://t.co/I02wSehBx7,negative
13613,Thameslink update: 10:44 London Blackfriars to Horsham due 12:15 is being delayed at Salfords. Download the Train Beacon iOS app today https://t.co/HH7mCmEhnH,negative
8097,@TLRailUK You’ve directed me to the wrong platform. It was on platform B. I missed the train and would have to wait again for the next one. Who can I complain to? This is the second time I am getting fed up!,negative
6782,@TLRailUK Morning. Why is this train slightly delayed? https://t.co/4fEG7PlyhX,negative
11529,"@waspboro1 Hi there, apologies for this. Services are subject to disruption following an earlier incident at Farringdon, that has caused delays and cancellations across the Thameslink routes. ^Jack",negative
5564,@TLRailUK Can you please confirm the arrival time of the train into Sandy? I know your delay repay team like to shave a few minutes off.,negative
11078,@mtmfella @LNER Keep being referred back to @dft about the seat spec. It is a joke and barely more 'comfortable' than trying to ride in a thameslink seat long distance.,negative
6404,@TLRailUK I've asked a few times and haven't had a response. Can you please tell me what is causing the now daily delays approaching St Pancras? I can only assume it is because you are trying to run too many trains and the line clearly can't cope.,negative
10582,@davidnmartin24 @bhcitynews @SouthernRailUK @GTRailUK Apologies for the delays faced on your commute today David. The morning service has arrived 3 minutes behind schedule due to possible peak congestion and the evening service has been affected by an earlier trespasser incident. ^L,neutral
7418,@TLRailUK Thanks. Is the 00:22 going to be running on time? That’s actually faster to St. Albans so I might as well wait for that at this point?,negative
2860,@CoyModemKnight @1066shrimprail @TLRailUK Here is the Thameslink website for engineering work between East Croydon and Purley on Sunday 17th February. Screenshot at 1755. https://t.co/RFr1Pd4Qii,neutral
5815,"@TLRailUK Great, I’ll do that and wait for the response in 3 weeks to say they won’t pay. Thanks, I know it’s not your fault, but just makes no sense",negative
1231,(Thameslink Update) 16:46 Luton to Rainham Kt due 19:19 - 16:46 Luton to Rainham Kt due 19:19 is being delayed between Charlton and Woolwich Arsenal.,negative
15675,"@TLRailUK I followed the on screen instructions for a multiple claim. Don’t make it easy / want to repay do you, have had issues with this before 😡",negative
11738,"Appalled at the lack of compassion shown by passengers on delayed @TLRailUK services this morning due to a passenger taken ill, demanding the passenger is simply removed from the train. You simply do not know what condition this passenger was in and if actually safe to move them.",neutral
8954,@TLRailUK know you’re very busy... a Gatwick train that has left London Bridge - coach 401002 is making a Horrrednous noise out do something (probably the AC). Train is VERY full. Any chance you can ask the drive to turn off what ever it is?,negative
14455,"youre on a train and u forget your rail card, and the ticket officer on board ""send a picture of your card to this email and you won't get fined"" so you send the email. 4 months later a letter comes through the door Saying ""you have to pay £56"" HOW DOES THIS WORK THAMESLINK?????",negative
3763,@Oldtraindriver Well something to do with Thameslink as we have to carry their passengers. Note as well COVID is the reason for the delay. Although we wouldn’t have the change anyway as Bombardier late building the replacement trains for GA to release the trains for Corby!,negative
3218,"@HS2theTruth @AlansTweets @AnnieBtransport @SpeedySticks007 @LordOrk @JAT74L @GreaterAngliaPR @Clinnick1 @transportforall @nickbro76777852 @DavidPo22194359 @TLRailUK In retrospect humps wouldve prob been a good call, as they couldve been removed to accomodate a low floor design. I heard the 345s were chosen as a consolation for bombardier losing out on the thameslink bid, and they had no low floor options for the UK, but who knows...",neutral
1959,1526 Thameslink train to Horsham: Delayed - plat 1 1556 Thameslink train to Horsham: Delayed - plat 1 1604 Thameslink train to Peterborough: Delayed - plat 2 1626 Thameslink train to Horsham: On time - plat 1 1634 Thameslink train to Peterborough: On time - plat 2,neutral
16056,"@TLRailUK stuck at Letchworth needing baldock, no staff announcements, what’s going on? When will I be a train? Can you pay for a taxi or bus ?",negative
6968,@TLRailUK On the app - the departure screen info is black,neutral
16762,The ‘WiFi’ and constant 4G wrecking tunnels on @TLRailUK are such a joke I’m tempted to start flirting with the guy opposite so he chucks me a hotspot 😂,negative
5313,"@TLRailUK A notice to passengers using Thameshite, speed restrictions are delaying services even more. They are not notifying anyone as they couldn’t give a 💩 about you!!",negative
14358,Yet more delays from @TLRailUK. Oh the surprise...,negative
14123,We are proud to announce @GTRailUK are onboard as a category sponsor for The @RailStaffAwards - Graduate or Newcomer Award https://t.co/UB7UJybcEu #railstaffawards #sponsor #graduate #newcomer #nominate #vote @railmedia @SouthernRailUK @GatwickExpress @GNRailUK @TLRailUK https://t.co/Oy5LSpd0kD,neutral
14842,⚠️ 0004 Brighton - Bedford 0259 Thameslink mainline service was delayed at Three Bridges and has now left (0055) running 18 mins late due to a shortage of train crew This train is approaching Horley,neutral
11487,@tommybills3 @bigphilystylz @NetworkRailSE @nationalrailenq @SouthernRailUK @TLRailUK That was my thoughts Delay the fix to film it ... send a train OVER the issue which could have ended so differently 🤯,negative
6622,@TLRailUK I’m on the 17.59 from Farringdon to Oxted and it’s very slow going with no announcements. Surely it’s standard for the driver to let us know what’s going on?,negative
8638,"@TLRailUK hi , all the trains out of Brighton are delayed , I’m on the Brighton - Bedford service , any news on when the train will depart ? Thanks",neutral
16122,"@TLRailUK you just had a train practically stop every station from st. Pancras to Bedford, only when you got to Luton you announce you’re then going straight to Bedford My stop is leagrave It was one more stop Now I wait 20 minutes in the cold Fuck you, you giant cunt muscle.",negative
1425,(Thameslink Update) 21:57 St Albans City to Dartford due 23:34 - 21:57 St Albans City to Dartford due 23:34 has been delayed between West Hampstead Thameslink and Kentish Town and is now 9 minutes late.,neutral
2548,"@75ConnoisseurSE @tlupdates @thepennygrinder @TLRailUK Despite your best efforts, it’s us, the passengers, who get screwed by platform changes. Normally as a result of late announcements. And no allowances being made for moving a full platform of people across a station. Or worse, across and back!",negative
5468,@TLRailUK Are tickets valid from St Albans and Brighton if you get the tube to Victoria and get the Gatwick Express through? Terrible timetable planning. Brighton bound trains leave two minutes after Inbound trains arrive leaving long & pointless waits.,negative
11428,@thekittydidit @TLRailUK Try looking on their website and twitter pages you seem to be able to do it to complain. The info was there. All stations would of announced this. Communication works both ways.,neutral
2118,1730 LNER train to Edinburgh: Delayed - plat 5 1800 LNER train to Edinburgh: Delayed 1818 LNER train to Newcastle: Cancelled 1807 Thameslink train to Welwyn Garden City: expected 1819 - plat 10 1821 Thameslink train to Cambridge: On time 1830 LNER train to Edinburgh: Delayed,neutral
5196,"@TLRailUK @justasauerkraut “Disruption has ended, however there are still delays and cancellations”. Makes you realise how low @tlrailuk ‘expectations are. As long as the cancellations are not extensive, that’s okay - we’re running some trains 👍🏼",negative
3004,@EstablishTheRun @tlupdates @TLRailUK The usual TL runaround. I do wish though that people would put their rucksacks on the floor when it's like that. So inconsiderate.,negative
6292,"@TLRailUK I think it was KGX to Peterborough? The train passes through Hitchin and stops at platform 2 every day, but it is not scheduled to stop so the doors don't open",negative
480,"#TLUpdates - Train services running through this station are cancelled, delayed or running non stop. Gatwick Airport will not be served. Disruption is expected until the end of the day.Trains cannot call at Gatwick Airport at the moment. Unfortunately, the station is now closed.",neutral
2209,1834 Thameslink train to Peterborough: expected 1837 - plat 2 1856 Thameslink train to Horsham: Delayed 1904 Thameslink train to Peterborough: Cancelled 1926 Thameslink train to Horsham: Delayed 1934 Thameslink train to Peterborough: On time - plat 2,neutral
14028,"Train emergency alarm delays rise as more passengers call for help - “On long distances services, with a while between scheduled stops, onboard staff can arrange for a train to stop at the nearest station in an emergency” except on DOO Thameslink https://t.co/7Ief0cEjQ7",negative
16667,"Person on @TLRailUK this morning, cutting their nails in the carriage, straight on to the floor. That’s odd, right? #London #train #WTF",neutral
7113,@TLRailUK Sevenoaks traim currently stopped at Nunhead. Not moving. Can you ssk the driver to tell us why there is a delay.,neutral
8669,@TLRailUK hi im on a Thameslink train carriage 401060. Why is there no wifi on this train. My phone tells me weak signal. Southeastern trains work ok yet your new trains dont why?,negative
5896,"@TLRailUK Hi Alex, I'm still waiting on a phonecall regarding this. I know you said 10 working days but we know that Southern have my scooter. Could you chase this up please?",negative
883,(Thameslink Update) 06:22 Brighton to Bedford due 08:35 - 06:22 Brighton to Bedford due 08:35 has been delayed at Luton Airport Parkway and is now 11 minutes late.,neutral
4531,@TLRailUK 17.36 St Pan to Bedford. AC kaput rear of train. #melting,negative
11178,"@oo_gauge_models @TLRailUK If they actually painted then like that, it might put graffiti vandals off!",negative
13565,Thameslink update: 04:56 Letchworth Garden City to London Kings Cross due 05:47 is being delayed at Hitchin.,neutral
4236,@SouthernRailUK @TLRailUK That’s fine to apologise but it happens every day. Can you fix it please? Can you also review your time table as it doesn’t work clearly.,neutral
9331,@TLRailUK stuck in train at Kentish Town. Could you please get driver to unlock doors so I can make alternative arrangements?!,neutral
4763,"@TLRailUK @GNRailUK Hi, i read eurostar has delays, does this affect service to luton airport from st pancras?",negative
8430,@TLRailUK could you please provide some information on the 7:54 from Earlswood this morning. Board says delayed and app says the train hasn't left Gatwick but no explanation as to why. Third time in a well I'll be late for work thanks to your terrible service!,negative
11039,"@mcninch91 Apologies, there was a 21:30 thameslink service, or a 21:41. These changes are necessary as drivers have set hours they can work, and need to have breaks allocated into their working days. Apologies once again for the disruption, please apply for delay repay. ^BS",neutral
7172,@TLRailUK Some accurate info would have helped on the station screens. Both trains showed on time right up to dep time.,negative
11274,@robinh1969 @ethelreddy1 @NetworkRailSE @SouthernRailUK @TLRailUK @GatwickExpress @networkrail Rubbish. Standing on the sidelines picking holes in systems you don't begin to understand is a pathetic hobby. If you had the qualifications/experience to improve this system you'd be doing so already.,neutral
5738,"@TLRailUK FYI the accessible toilet door doesn't lock properly on 407042, the lever on the inside to lock said door is broken and when in use the external toilet lights do not light up.",negative
11459,@tlrailuk @gnrailuk on a slow train to moorgate that has just stopped at Hadley wood and not moving because of a problem with a door. These are your new trains! Utterly useless,negative
4422,@TLRailUK #thameslink This is beyond a joke - no info - trains at standstill at west hanpstead - gave up and Uber shared to St Albans - will delay repay cover the cost ?,negative
15193,"📢 We’d like to say sorry for disruption to @TLRailUK and @GNRailUK services yesterday.👇 If you were delayed by 15 minutes or more, you will be able to claim compensation through our delay repay scheme. Find out more at: greatnorthernrail.com/help-and-suppo… https://t.co/SvJBMbptCr",neutral
13937,The question this evening is: how much will my @TLRailUK train be delayed by today?,negative
691,(Thameslink Update)  07:45 East Grinstead to Bedford due 10:02 - 07:45 East Grinstead to Bedford due 10:02 is being delayed at St Albans City and is now expected to be 11 minutes late.,negative
7400,"@TLRailUK Thanks, appreciated. Tbh it would have been nice just to have a tannoy announcement ""sorry, but you might want to avoid carriages X Y and Z""...",negative
16222,"@jreynoldsMP Got my vote for @TLRailUK commuters as well. Simple solution I use works every time. Don’t touch the bag, but pick up the owner and throw them onto the luggAge rack, then take their seat.",neutral
4432,@TLRailUK - Journey no 7 this week - previous 6 trains all delayed and quelle surprise 8.32 Oxted to St Pancras already delayed - all I want for Christmas is a train you can rely on - you folks are just awful,negative
6799,@TLRailUK My train the 0828 from AbbeyWoid is delayed . Why ?,neutral
3579,"@MrsNettles118 @DanielGurr @ABCommuters @nationalrailenq @TLRailUK Not true - still eligible for delay repay, either based on the train timetable (for short notice buses), or in this case based on the bus timetable available online (search for departures from e.g. Haywards Heath) https://t.co/4Ec2O7JeDE",negative
9448,@TLRailUK the train itself is still saying it will call at St Albans with no special announcements from the driver. I am assuming there are no changes in this case contrary to Blackfriars station screens.,negative
2639,@Arleseycommuter @GNRailUK @AlistairBurtUK @ABCommuters @TLRailUK this sums up the incompetence of those that run Thameslink. Perhaps if they devoted as much time & energy making the trains run on time...🤔 I’ve been delayed a total of 3 hours this week & I’m not sure when I’m going to get to work today. Was going to get the 9.01... https://t.co/paPOqitvVj,negative
36,"#125DISRUPTION - MAJOR DELAYS to all Thameslink trains until the end of service. Trains may be delayed by up to 120 minutes, delayed or cancelled. (Pics sent by someone at London Bridge) https://t.co/cniQNnavTI",negative
462,#TLUpdates - The passenger has been provided with assistance at London Blackfriars and the train has now moved forward. We are working to move services as quickly as possible however trains may be delayed or revised to call at different stations due to the congestion caused.,negative
73,"#GXUpdates - Services on the Southern, Thameslink and Gatwick Express networks will be very severely disrupted. Please anticipate service cancellations, delays and revisions. Ticket acceptance to follow.",negative
1759,1012 Thameslink train to Cambridge: Delayed - plat 7 0954 Thameslink train to Peterborough: expected 1030 - plat 7 1031 Thameslink train to Letchworth: On time - plat 7 1033 Great Northern train to Moorgate: Cancelled,neutral
3786,@Passengersalute I've never seen a conductor nor an OBS on a Thameslink service. It's a problem when there is disruption and I might need to re-route. The driver doesn't always say what the problem is.,negative
